secid,date,rv_raw,rv_ann,rv_d,rv_w,rv_m,rv_target,estimator,log_rv
GLDRUB_TOM,2018-08-08,2.231594506126663e-05,0.07499078713708232,-11.664593246616331,-12.439256236541258,-13.141885479782776,-10.710209109838,garman_klass,True
GLDRUB_TOM,2018-08-09,4.2635319563292496e-05,0.103653753091481,-10.710209109838,-12.043867688335315,-13.110265028614428,-10.062827550470745,garman_klass,True
GLDRUB_TOM,2018-08-10,9.469062269828641e-05,0.15447341816625984,-10.062827550470745,-11.500489345372529,-13.027249001651596,-9.264895583812578,garman_klass,True
GLDRUB_TOM,2018-08-13,2.1877441072801666e-06,0.023480023744336418,-9.264895583812578,-11.152089493866193,-12.920341506928633,-13.03263963304105,garman_klass,True
GLDRUB_TOM,2018-08-14,2.7332538749020495e-05,0.08299276935223432,-13.03263963304105,-10.947033024755742,-12.98330502061977,-10.507432669948463,garman_klass,True
GLDRUB_TOM,2018-08-15,1.18722038712035e-05,0.05469730683994672,-10.507432669948463,-10.715600909422168,-12.799534082198779,-11.341310699247046,garman_klass,True
GLDRUB_TOM,2018-08-16,2.4665187990284386e-05,0.0788392502092179,-11.341310699247046,-10.841821227303976,-12.694533961644076,-10.61011770156489,garman_klass,True
GLDRUB_TOM,2018-08-17,2.9193327949448647e-05,0.08577131597020685,-10.61011770156489,-10.951279257522804,-12.698170847286617,-10.441570369680866,garman_klass,True
GLDRUB_TOM,2018-08-20,8.826447269430006e-06,0.047162110977948826,-10.441570369680866,-11.186614214696464,-12.526597318548882,-11.637757972054898,garman_klass,True
GLDRUB_TOM,2018-08-21,4.745540430262873e-06,0.034581442833205266,-11.637757972054898,-10.907637882499234,-12.476175703818763,-12.258305237706567,garman_klass,True
GLDRUB_TOM,2018-08-22,6.714408966793901e-05,0.13007809422158917,-12.258305237706567,-11.257812396050854,-12.519854074981515,-9.608669655727429,garman_klass,True
GLDRUB_TOM,2018-08-23,0.00012338846604549348,0.17633460648285793,-9.608669655727429,-10.911284187346931,-12.341398772290285,-9.00017291888819,garman_klass,True
GLDRUB_TOM,2018-08-24,1.1630508387620042e-05,0.05413767739458584,-9.00017291888819,-10.58929523081159,-11.978124213888115,-11.361878878922207,garman_klass,True
GLDRUB_TOM,2018-08-27,4.168484124063614e-06,0.032410769803632104,-11.361878878922207,-10.773356932659858,-11.96151996580934,-12.387958107651967,garman_klass,True
GLDRUB_TOM,2018-08-28,1.650153852601881e-06,0.02039212521675154,-12.387958107651967,-10.923396959779271,-11.937278485016778,-13.314642030397597,garman_klass,True
GLDRUB_TOM,2018-08-29,9.807049716335035e-06,0.04971294125795042,-13.314642030397597,-11.134664318317478,-11.816830617865683,-11.532409072092582,garman_klass,True
GLDRUB_TOM,2018-08-30,3.707166339206655e-06,0.0305647823070945,-11.532409072092582,-11.519412201590509,-11.46948408140634,-12.505242763152353,garman_klass,True
GLDRUB_TOM,2018-08-31,3.291704518799773e-05,0.09107741425499204,-12.505242763152353,-12.220426170443341,-11.444287324404714,-10.32151994353506,garman_klass,True
GLDRUB_TOM,2018-09-03,6.962648308624526e-06,0.04188779504549482,-10.32151994353506,-12.012354383365912,-11.336758601344139,-11.874950651878558,garman_klass,True
GLDRUB_TOM,2018-09-04,7.133775277942961e-06,0.04239942652963158,-11.874950651878558,-11.909752892211229,-11.295632755280225,-11.850669971671884,garman_klass,True
GLDRUB_TOM,2018-09-05,7.83425092838133e-07,0.01405073390948706,-11.850669971671884,-11.616958480466087,-11.333986170295118,-14.059590385543284,garman_klass,True
GLDRUB_TOM,2018-09-06,5.066590549127688e-05,0.11299472635393996,-14.059590385543284,-12.122394743156228,-11.334062006974662,-9.890257349097439,garman_klass,True
GLDRUB_TOM,2018-09-07,2.816683767615111e-05,0.08424988483309684,-9.890257349097439,-11.599397660345245,-11.253410375269256,-10.477365240945042,garman_klass,True
GLDRUB_TOM,2018-09-10,2.6739297400861874e-05,0.08208716674984703,-10.477365240945042,-11.630566719827241,-11.24282656304685,-10.529376261846526,garman_klass,True
GLDRUB_TOM,2018-09-11,9.628872541751679e-06,0.04925927202589806,-10.529376261846526,-11.361451841820834,-11.264033322654841,-11.55074441670809,garman_klass,True
GLDRUB_TOM,2018-09-12,5.073025178459625e-06,0.035754752760602686,-11.55074441670809,-11.301466730828077,-11.367935542331908,-12.191573236163253,garman_klass,True
GLDRUB_TOM,2018-09-13,5.561546257260952e-06,0.03743674207018768,-12.191573236163253,-10.927863300952069,-11.329705251564734,-12.099634384541572,garman_klass,True
GLDRUB_TOM,2018-09-14,5.818004980612163e-07,0.012108415483102094,-12.099634384541572,-11.369738708040895,-11.402078056773513,-14.357138234816208,garman_klass,True
